Code,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,SCHEDULEFORPRINT
ACCT201,A,Finansal Muhasebe,İşletme Fakültesi,6,ALİNA TARAN,"Çarşamba | 12:40 - 15:30
"
ACCT201,B,Finansal Muhasebe,İşletme Fakültesi,6,ALİNA TARAN,"Perşembe | 13:40 - 16:30
"
ACCT301,A,Yönetim Muhasebesi,İşletme Fakültesi,6,ALİNA TARAN,"Perşembe | 08:40 - 11:30
"
BUS100,A,İşletmenin Temelleri,İşletme Fakültesi,4,MEHMET ERDEM GENÇ,"Salı | 14:40 - 16:30
Perşembe | 15:40 - 16:30
"
BUS101,A,İşletmeye Giriş I (Karar Verme),İşletme Fakültesi,4,PELİN ATAHAN DEMİRCİLER,"Salı | 16:40 - 18:30
"
BUS101L,A,İşletmeye Giriş I (Karar Verme) - Lab.,İşletme Fakültesi,0,PELİN ATAHAN DEMİRCİLER,"Cuma | 14:40 - 16:30
"
BUS101L,B,İşletmeye Giriş I (Karar Verme) - Lab.,İşletme Fakültesi,0,PELİN ATAHAN DEMİRCİLER,"Çarşamba | 12:40 - 14:30
"
BUS101L,C,İşletmeye Giriş I (Karar Verme) - Lab.,İşletme Fakültesi,0,PELİN ATAHAN DEMİRCİLER,"Perşembe | 14:40 - 16:30
"
BUS101L,D,İşletmeye Giriş I (Karar Verme) - Lab.,İşletme Fakültesi,0,PELİN ATAHAN DEMİRCİLER,"Cuma | 16:40 - 18:30
"
BUS101L,E,İşletmeye Giriş I (Karar Verme) - Lab.,İşletme Fakültesi,0,PELİN ATAHAN DEMİRCİLER,"Perşembe | 10:40 - 12:30
"
BUS101L,F,İşletmeye Giriş I (Karar Verme) - Lab.,İşletme Fakültesi,0,PELİN ATAHAN DEMİRCİLER,"Çarşamba | 08:40 - 10:30
"
BUS101L,G,İşletmeye Giriş I (Karar Verme) - Lab.,İşletme Fakültesi,0,PELİN ATAHAN DEMİRCİLER,"Çarşamba | 16:40 - 18:30
"
BUS102,A,İşletmeye Giriş II (Girişimcilik),İşletme Fakültesi,4,AHMET MURAT FİŞ,"Salı | 14:40 - 16:30
"
BUS102,B,İşletmeye Giriş II (Girişimcilik),İşletme Fakültesi,4,AHMET MURAT FİŞ,"Salı | 16:40 - 18:30
"
BUS102L,A,İşletmeye Giriş II (Girişimcilik) - Lab.,İşletme Fakültesi,0,AHMET MURAT FİŞ,"Perşembe | 16:40 - 17:30
"
BUS102L,B,İşletmeye Giriş II (Girişimcilik) - Lab.,İşletme Fakültesi,0,AHMET MURAT FİŞ,"Perşembe | 17:40 - 18:30
"
BUS190,A,İşletme Bilişimine Giriş,İşletme Fakültesi,2,BERİL GÜL,"Salı | 11:40 - 12:30
"
BUS190,B,İşletme Bilişimine Giriş,İşletme Fakültesi,2,BERİL GÜL,"Salı | 12:40 - 13:30
"
BUS190,C,İşletme Bilişimine Giriş,İşletme Fakültesi,2,BERİL GÜL,"Salı | 13:40 - 14:30
"
BUS190,D,İşletme Bilişimine Giriş,İşletme Fakültesi,2,BERİL GÜL,"Salı | 11:40 - 12:30
"
BUS190,E,İşletme Bilişimine Giriş,İşletme Fakültesi,2,BERİL GÜL,"Salı | 13:40 - 14:30
"
BUS199,A,Problem Çözümü İçin Algoritma Tasarımı,İşletme Fakültesi,4,YAVUZ SELİM HİNDİSTAN,"Pazartesi | 13:40 - 15:30
"
BUS201,A,İş Kararı Modelleme,İşletme Fakültesi,6,BO WEI,"Pazartesi | 10:40 - 13:30
"
BUS301,A,İş Analitiği,İşletme Fakültesi,6,AYŞE ÇETİNEL,"Salı | 11:40 - 13:30
Perşembe | 14:40 - 16:30
"
BUS302,A,İşletme Hukuku,İşletme Fakültesi,4,EKİN DENİZ İLHAN,"Cuma | 15:40 - 18:30
"
ECON101,A,Mikroekonomi,İşletme Fakültesi,6,YUSUF KULU,"Perşembe | 12:40 - 15:30
"
ECON101,B,Mikroekonomi,İşletme Fakültesi,6,YUSUF KULU,"Perşembe | 08:40 - 11:30
