code,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,SCHEDULEFORPRINT
AVM101,A,Hava Taşımacılığı,Havacılık ve Uzay Bilimleri Fakültesi,6,MEHMET ERTÜRK,"Pazartesi | 13:40 - 16:30
"
AVM101,B,Hava Taşımacılığı,Havacılık ve Uzay Bilimleri Fakültesi,6,MEHMET ERTÜRK,"Salı | 13:40 - 16:30
"
AVM102,A,Havaalanı ve Faaliyetleri,Havacılık ve Uzay Bilimleri Fakültesi,6,HATİCE KÜÇÜKÖNAL,"Salı | 09:40 - 11:30
Çarşamba | 11:40 - 12:30
"
AVM202,A,Havacılık Yönetiminde Veri Analizi,Havacılık ve Uzay Bilimleri Fakültesi,6,CEM ERSÖZ,"Perşembe | 13:40 - 16:30
"
AVM301,A,Havayolu Yönetimi,Havacılık ve Uzay Bilimleri Fakültesi,6,LUIS MARTIN DOMINGO,"Pazartesi | 13:40 - 16:30
"
AVM303,A,Hava Trafik ve Meteoroloji,Havacılık ve Uzay Bilimleri Fakültesi,4,MEHMET ERTÜRK,"Çarşamba | 09:40 - 11:30
"
AVM306,A,Havacılıkta Operasyon Yönetimi,Havacılık ve Uzay Bilimleri Fakültesi,6,SENA KILIÇ,"Perşembe | 09:40 - 12:30
"
AVM307,A,İnsansız Hava Aracı Sistemlerine Giriş,Havacılık ve Uzay Bilimleri Fakültesi,6,HÜSEYİN ÖNDER ALDEMİR,"Pazartesi | 09:40 - 12:30
"
AVM401,A,Havayolu Filo Planlaması Ve Uçuş Ağı Yönetimi,Havacılık ve Uzay Bilimleri Fakültesi,6,MEHMET ERTÜRK,"Salı | 09:40 - 12:30
"
AVM402,A,Havacılık İş Simülasyonu,Havacılık ve Uzay Bilimleri Fakültesi,6,LUIS MARTIN DOMINGO,"Salı | 13:40 - 16:30
"
AVM404,A,Havacılık Güvenliği,Havacılık ve Uzay Bilimleri Fakültesi,4,HATİCE KÜÇÜKÖNAL,"Perşembe | 09:40 - 11:30
"
AVM405,A,Emniyet Yönetimi Sistemi,Havacılık ve Uzay Bilimleri Fakültesi,6,HÜSEYİN ÖNDER ALDEMİR,"Çarşamba | 13:40 - 16:30
"
AVM406,A,Hava Hukuku,Havacılık ve Uzay Bilimleri Fakültesi,4,GÜLFER MERİÇ,"Çarşamba | 09:40 - 11:30
"
AVM408,A,Havacılık Yönetiminde Öngörü ve Optimizasyon,Havacılık ve Uzay Bilimleri Fakültesi,6,CEM ERSÖZ,"Pazartesi | 13:40 - 16:30
"
AVM410,A,Havayolu Rezervasyon ve Yönetim Sistemleri,Havacılık ve Uzay Bilimleri Fakültesi,6,BELMA CAN,"Perşembe | 13:40 - 16:30
"
AVT201,A,Uçuş Prensipleri,Havacılık ve Uzay Bilimleri Fakültesi,4,HÜSEYİN ÖNDER ALDEMİR,"Salı | 13:40 - 15:30
"
PLT104,A,Aerodinamik,Havacılık ve Uzay Bilimleri Fakültesi,6,PINAR GÖKALP,"Çarşamba | 08:40 - 11:30
"
PLT109,A,Evrenin Keşfi,Havacılık ve Uzay Bilimleri Fakültesi,6,DÜNDAR TEKİN DERELİ,"Perşembe | 08:40 - 11:30
"
PLT110,A,Uzay Yolculuklarının Fiziği,Havacılık ve Uzay Bilimleri Fakültesi,6,DÜNDAR TEKİN DERELİ,"Perşembe | 12:40 - 15:30
"
PLT201,A,Hava Hukukuna Giriş,Havacılık ve Uzay Bilimleri Fakültesi,2,PINAR GÖKALP,"Salı | 10:40 - 11:30
"
PLT201,B,Hava Hukukuna Giriş,Havacılık ve Uzay Bilimleri Fakültesi,2,PINAR GÖKALP,"Salı | 09:40 - 10:30
"
PLT201,C,Hava Hukukuna Giriş,Havacılık ve Uzay Bilimleri Fakültesi,2,PINAR GÖKALP,"Salı | 08:40 - 09:30
"
PLT203,A,Genel Uçak Bilgisi (PPL),Havacılık ve Uzay Bilimleri Fakültesi,3,MEHMET BOZTEPE,"Çarşamba | 10:40 - 12:30
"
PLT203,B,Genel Uçak Bilgisi (PPL),Havacılık ve Uzay Bilimleri Fakültesi,3,MEHMET BOZTEPE,"Çarşamba | 12:40 - 14:30
"
PLT203,C,Genel Uçak Bilgisi (PPL),Havacılık ve Uzay Bilimleri Fakültesi,3,MEHMET BOZTEPE,"Çarşamba | 08:40 - 10:30
"
PLT205,A,Meteoroloji (PPL),Havacılık ve Uzay Bilimleri Fakültesi,3,CELAL ALPAY HAVLE,"Pazartesi | 10:40 - 12:30
"
PLT205,B,Meteoroloji (PPL),Havacılık ve Uzay Bilimleri Fakültesi,3,CELAL ALPAY HAVLE,"Pazartesi | 08:40 - 10:30
"
PLT205,C,Meteoroloji (PPL),Havacılık ve Uzay Bilimleri Fakültesi,3,CELAL ALPAY HAVLE,"Pazartesi | 13:40 - 15:30
"
PLT207,A,Uçuş Performans ve Planlama (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,MEHMET BOZTEPE,"Pazartesi | 13:40 - 15:30
"
PLT207,B,Uçuş Performans ve Planlama (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,MEHMET BOZTEPE,"Pazartesi | 10:40 - 12:30
"
PLT207,C,Uçuş Performans ve Planlama (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,MEHMET BOZTEPE,"Pazartesi | 08:40 - 10:30
"
PLT209,A,Seyrüsefer (PPL),Havacılık ve Uzay Bilimleri Fakültesi,6,CELAL ALPAY HAVLE,"Çarşamba | 13:40 - 15:30
Perşembe | 09:40 - 10:30
Perşembe | 09:40 - 10:30
"
PLT209,B,Seyrüsefer (PPL),Havacılık ve Uzay Bilimleri Fakültesi,6,CELAL ALPAY HAVLE,"Çarşamba | 08:40 - 10:30
Perşembe | 10:40 - 11:30
Perşembe | 10:40 - 11:30
"
PLT209,C,Seyrüsefer (PPL),Havacılık ve Uzay Bilimleri Fakültesi,6,CELAL ALPAY HAVLE,"Çarşamba | 10:40 - 12:30
Perşembe | 11:40 - 12:30
Perşembe | 11:40 - 12:30
"
PLT211,A,İşletme Prosedürleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,SEMİH SORAN,"Salı | 12:40 - 13:30
"
PLT211,B,İşletme Prosedürleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,SEMİH SORAN,"Salı | 13:40 - 14:30
"
PLT211,C,İşletme Prosedürleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,SEMİH SORAN,"Salı | 14:40 - 15:30
"
PLT213,A,İnsan Performansı ve Limitleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,PINAR GÖKALP,"Salı | 13:40 - 14:30
"
PLT213,B,İnsan Performansı ve Limitleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,PINAR GÖKALP,"Salı | 11:40 - 12:30
